ProteinGroupPairID,LinkIDs,PeptidePairIDs,PSMIDs,Protein1,Name1,Descriptions1,isDecoy1,Protein2,Name2,Description2,isDecoy2,Crosslinker,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,count links,fdrGroup,fdr,ifdr,PEP,,top link fdr,top peptide fdr,top psm_fdr
385,476,2308,Kojak_2298,P0A7J7,,,false,P0ACF4,,,false,,4.78,false,true,false,false,1,1,1,Between,0,0.002,0.023,,0,0,0
384,474,589,Kojak_351,P0A7R5,,,false,P0A705,,,false,,4.731,false,true,false,false,1,1,1,Between,0,0.002,0.023,,0,0,0
383,473,331,Kojak_1530;Kojak_1233,P39199,,,false,P21645,,,false,,4.729,false,true,false,false,2,1,1,Between,0,0.002,0.023,,0,0,0
380,469,3189,Kojak_3354,P0A8T7,,,false,P0ACF0,,,false,,4.664,false,true,false,false,1,1,1,Between,0,0.002,0.023,,0,0,0
279,354;455,2558;2907,Kojak_549;Kojak_266,P0A910,,,false,P69776,,,false,,4.594,false,true,false,false,2,2,2,Between,0,0.003,0.023,,0,0,0
376,464,3178,Kojak_416,P21507,,,false,P0A7V3,,,false,,4.566,false,true,false,false,1,1,1,Between,0,0.003,0.023,,0,0,0
375,463,3173,Kojak_3894,P0A8N3,,,false,P0A9G6,,,false,,4.533,false,true,false,false,1,1,1,Between,0,0.003,0.023,,0,0,0
367,454,2789,Kojak_1518,P0A7R1,,,false,P21499,,,false,,4.292,false,true,false,false,1,1,1,Between,0,0.003,0.023,,0,0,0
368,453,3139,Kojak_781,P0A707,,,false,P0A7X3,,,false,,4.292,false,true,false,false,1,1,1,Between,0,0.003,0.023,,0,0,0
366,452,505,Kojak_234,P68191,,,false,P0ACF4,,,false,,4.252,false,true,false,false,1,1,1,Between,0,0.003,0.023,,0,0,0
363,449,2493,Kojak_3813;Kojak_3812,P0AGL7,,,false,P0A7S9,,,false,,4.203,false,true,false,false,2,1,1,Between,0,0.003,0.023,,0,0,0.001
361,447,2939,Kojak_622,P45577,,,false,P0AG59,,,false,,4.141,false,true,false,false,1,1,1,Between,0,0.004,0.023,,0,0,0
360,446,332,Kojak_4021;Kojak_3327;Kojak_4048,P27302,,,false,P33570,,,false,,4.124,false,true,false,false,3,1,1,Between,0,0.004,0.023,,0,0,0.001
357,443,3103,Kojak_3082,P69908;P69910,;,;,false,P0ABH7,,,false,,4.015,false,true,false,false,1,1,1,Between,0,0.004,0.023,,0,0,0
356,442,3096,Kojak_2333,decoy:sp|P07330|CHEB_ECOLI,decoy:,decoy:,true,P0A7R1,,,false,,3.956,true,false,true,false,1,1,1,Between,0.004,0.003,0.023,,0.002,0.002,0.001
180,249;220,1742;3073;1823,Kojak_187;Kojak_521;Kojak_2261,P0A7U7,,,false,P0ACF4,,,false,,3.827,false,true,false,false,3,3,2,Between,0.004,0.004,0.023,,0.002,0.002,0.001
352,437,2921,Kojak_2166,Q57261,,,false,P62399,,,false,,3.815,false,true,false,false,1,1,1,Between,0.004,0.004,0.023,,0.002,0.002,0.001
346,430,3020,Kojak_888,P0AGJ5,,,false,P0ADZ4,,,false,,3.429,false,true,false,false,1,1,1,Between,0.004,0.004,0.024,,0.002,0.002,0.001
345,429,3019,Kojak_3391,P77718,,,false,P0A7J7,,,false,,3.428,false,true,false,false,1,1,1,Between,0.004,0.004,0.024,,0.002,0.002,0.001
341,424,2995,Kojak_771,P60723,,,false,P45552;P0A7U7,;,;,false,,3.318,false,true,false,false,1,1,1,Between,0.004,0.005,0.024,,0.002,0.002,0.001
338,421,2135,Kojak_601;Kojak_600,P0A8V2,,,false,P60422,,,false,,3.204,false,true,false,false,2,1,1,Between,0.004,0.005,0.024,,0.002,0.002,0.001
337,420,1047,Kojak_4008,P0ACF4,,,false,P0A7S9,,,false,,3.171,false,true,false,false,1,1,1,Between,0.004,0.005,0.024,,0.002,0.002,0.001
336,419,2951,Kojak_1105,P0ACF4,,,false,P42641,,,false,,3.095,false,true,false,false,1,1,1,Between,0.004,0.005,0.024,,0.002,0.002,0.001
335,418,2945,Kojak_516,P0ACF4,,,false,P0AG63,,,false,,3.075,false,true,false,false,1,1,1,Between,0.004,0.005,0.024,,0.002,0.002,0.001
333,416,2607,Kojak_2167,P0A7N4,,,false,P0ACF4,,,false,,3.005,false,true,false,false,1,1,1,Between,0.004,0.005,0.024,,0.002,0.002,0.001
332,415,2483,Kojak_524,P0A6X7,,,false,P0C018,,,false,,2.997,false,true,false,false,1,1,1,Between,0.004,0.005,0.024,,0.002,0.002,0.001
330,413,2437,Kojak_2243;Kojak_2284,P02359,,,false,P21499,,,false,,2.832,false,true,false,false,2,1,1,Between,0.004,0.005,0.024,,0.002,0.002,0.001
326,409,1108,Kojak_1839,P69910,,,false,P69908,,,false,,2.697,false,true,false,false,1,1,1,Between,0.004,0.005,0.024,,0.002,0.002,0.001
121,407;175,869;1531,Kojak_2793;Kojak_2794;Kojak_2152,P0A6Y1,,,false,P0AG59,,,false,,2.606,false,true,false,false,3,2,2,Between,0.004,0.005,0.024,,0.002,0.002,0.001
315,394,2374,Kojak_1065,P0A707,,,false,P0A7L0,,,false,,2.306,false,true,false,false,1,1,1,Between,0.004,0.006,0.024,,0.002,0.002,0.001
313,392,1332,Kojak_232,P0AFR4,,,false,P0A6F5,,,false,,2.281,false,true,false,false,1,1,1,Between,0.004,0.006,0.024,,0.002,0.002,0.001
312,391,1595,Kojak_2151;Kojak_2197,P0A9F3,,,false,P0A7S3,,,false,,2.223,false,true,false,false,2,1,1,Between,0.004,0.006,0.024,,0.002,0.002,0.001
311,390,2381,Kojak_3937,P0ADG7,,,false,P62399,,,false,,2.192,false,true,false,false,1,1,1,Between,0.004,0.006,0.024,,0.002,0.002,0.001
