ProteinGroupID,ProteinGroup,Names,Descriptions,Sequence,Crosslinker,Score,isDecoy,isTT,isTD,isDD,PSM IDs,fdrGroup,fdr,ifdr,PEP,
298,Q01449,,,,,∞,false,true,false,false,OpenPepXL_448;OpenPepXL_420,Between only,0.11578947368421053,NaN,0.0,0.808447452500042
9,P0A7G2,,,,,∞,false,true,false,false,OpenPepXL_151;OpenPepXL_5,Between only,0.11578947368421053,NaN,0.0,0.812816882252198
154,Q46819,,,,,∞,false,true,false,false,OpenPepXL_248;OpenPepXL_139;OpenPepXL_253,Between only,0.11578947368421053,NaN,0.0,0.788968840699224
44,P0A6X7,,,,,∞,false,true,false,false,OpenPepXL_269;OpenPepXL_452;OpenPepXL_375;OpenPepXL_261;OpenPepXL_236;OpenPepXL_237;OpenPepXL_336;OpenPepXL_482;OpenPepXL_30;OpenPepXL_239;OpenPepXL_221;OpenPepXL_240;OpenPepXL_304;OpenPepXL_314,Between only,0.11578947368421053,NaN,0.0,0.82324262783011
132,O95081,,,,,∞,false,true,false,false,OpenPepXL_112,Between only,0.11578947368421053,NaN,0.0,0.781096436955149
107,P0ACF4,,,,,∞,false,true,false,false,OpenPepXL_113;OpenPepXL_186;OpenPepXL_454;OpenPepXL_347;OpenPepXL_276;OpenPepXL_241;OpenPepXL_353;OpenPepXL_130;OpenPepXL_128;OpenPepXL_93,Between only,0.11578947368421053,NaN,0.0,0.897759410456591
86,P0A7V0,,,,,∞,false,true,false,false,OpenPepXL_385;OpenPepXL_294;OpenPepXL_210;OpenPepXL_347;OpenPepXL_140;OpenPepXL_401;OpenPepXL_72;OpenPepXL_262;OpenPepXL_92;OpenPepXL_115;OpenPepXL_430,Between only,0.11578947368421053,NaN,0.0,0.859444046969111
308,P0A7L3,,,,,∞,false,true,false,false,OpenPepXL_443,Between only,0.11578947368421053,NaN,0.0,0.780723272194427
159,P64581,,,,,∞,false,true,false,false,OpenPepXL_145;OpenPepXL_146;OpenPepXL_163;OpenPepXL_324,Between only,0.11578947368421053,NaN,0.0,0.807852953180974
265,decoy:sp|Q5JY77|GASP1_HUMAN,decoy:,decoy:,,,∞,true,false,true,false,OpenPepXL_327,Between only,0.11578947368421053,NaN,0.0,0.794778144826474
