protein_pair	probability	status
sp|P0A7S3|RS12_ECOLI-sp|P0A7V0|RS2_ECOLI	1.00	target_target
sp|P0A7R1|RL9_ECOLI-sp|P21499|RNR_ECOLI	1.00	target_target
sp|P0A7J7|RL11_ECOLI-sp|P0A8M6|YEEX_ECOLI	1.00	target_target
sp|P37645|YHJG_ECOLI-sp|P37645|YHJG_ECOLI	1.00	target_target
sp|P25552|GPPA_ECOLI-sp|P25552|GPPA_ECOLI	1.00	target_target
sp|P0A9S3|GATD_ECOLI-sp|P0A9S3|GATD_ECOLI	1.00	target_target
sp|P28248|DCD_ECOLI-sp|P28248|DCD_ECOLI	1.00	target_target
sp|P36929|RSMB_ECOLI-sp|P36929|RSMB_ECOLI	1.00	target_target
sp|P0A8A8|RIMP_ECOLI-sp|P0A8A8|RIMP_ECOLI	1.00	target_target
sp|P0ADG4|SUHB_ECOLI-sp|P0ADG4|SUHB_ECOLI	1.00	target_target
sp|P67660|YHAJ_ECOLI-sp|P67660|YHAJ_ECOLI	1.00	target_target
sp|P0AFM6|PSPA_ECOLI-sp|P0AFM6|PSPA_ECOLI	1.00	target_target
sp|P39831|YDFG_ECOLI-sp|P39831|YDFG_ECOLI	1.00	target_target
sp|P08956|T1RK_ECOLI-sp|P08956|T1RK_ECOLI	1.00	target_target
sp|P22186|MRAZ_ECOLI-sp|P22186|MRAZ_ECOLI	1.00	target_target
sp|P37342|YJJI_ECOLI-sp|P37342|YJJI_ECOLI	1.00	target_target
sp|P0AA10|RL13_ECOLI-sp|P0AA10|RL13_ECOLI	1.00	target_target
sp|P07363|CHEA_ECOLI-sp|P07363|CHEA_ECOLI	1.00	target_target
sp|P31806|NNR_ECOLI-sp|P31806|NNR_ECOLI	1.00	target_target
sp|P09323|PTW3C_ECOLI-sp|P09323|PTW3C_ECOLI	1.00	target_target
sp|P17115|GUTQ_ECOLI-sp|P17115|GUTQ_ECOLI	1.00	target_target
sp|P60584|CAIA_ECOLI-sp|P60584|CAIA_ECOLI	1.00	target_target
sp|P0A9E5|FNR_ECOLI-sp|P0A9E5|FNR_ECOLI	1.00	target_target
sp|P76273|RSMF_ECOLI-sp|P76273|RSMF_ECOLI	1.00	target_target
sp|P76513|YFDQ_ECOLI-sp|P76513|YFDQ_ECOLI	1.00	target_target
sp|P21645|LPXD_ECOLI-sp|P21645|LPXD_ECOLI	1.00	target_target
sp|P10346|GLNQ_ECOLI-sp|P10346|GLNQ_ECOLI	1.00	target_target
sp|P0C0S1|MSCS_ECOLI-sp|P0C0S1|MSCS_ECOLI	1.00	target_target
sp|P0A8U6|METJ_ECOLI-sp|P0A8U6|METJ_ECOLI	1.00	target_target
sp|P00363|FRDA_ECOLI-sp|P00363|FRDA_ECOLI	1.00	target_target
sp|P07017|MCP2_ECOLI,sp|P07018|MCP4_ECOLI-sp|P07017|MCP2_ECOLI,sp|P07018|MCP4_ECOLI	1.00	target_target
sp|Q47155|DPO4_ECOLI-sp|Q47155|DPO4_ECOLI	1.00	target_target
sp|P04391|OTC1_ECOLI-sp|P04391|OTC1_ECOLI	1.00	target_target
sp|P08394|RECB_ECOLI-sp|P08394|RECB_ECOLI	1.00	target_target
sp|P0A8D0|NRDR_ECOLI-sp|P0A8D0|NRDR_ECOLI	1.00	target_target
sp|P76268|KDGR_ECOLI-sp|P76268|KDGR_ECOLI	1.00	target_target
sp|P0A8P8|XERD_ECOLI-sp|P0A8P8|XERD_ECOLI	1.00	target_target
sp|P42632|TDCE_ECOLI-sp|P42632|TDCE_ECOLI	1.00	target_target
sp|P76578|A2MG_ECOLI-sp|P76578|A2MG_ECOLI	1.00	target_target
sp|P0AGK4|YHBY_ECOLI-sp|P0AGK4|YHBY_ECOLI	1.00	target_target
sp|P0AEX9|MALE_ECOLI-sp|P0AEX9|MALE_ECOLI	1.00	target_target
sp|P0ACM9|YIHL_ECOLI-sp|P0ACM9|YIHL_ECOLI	1.00	target_target
sp|P30870|GLNE_ECOLI-sp|P30870|GLNE_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0A8W0|NANR_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0ACN4|ALLR_ECOLI	1.00	target_target
sp|Q8N4V2|SVOP_HUMAN-sp|Q8N4V2|SVOP_HUMAN	1.00	target_target
sp|P0A6C1|END4_ECOLI-sp|P0A6C1|END4_ECOLI	1.00	target_target
sp|P0AAF6|ARTP_ECOLI-sp|P0AAF6|ARTP_ECOLI	1.00	target_target
sp|P0A9G6|ACEA_ECOLI-sp|P0A9G6|ACEA_ECOLI	1.00	target_target
